id,liver,spleen
1,61.92,153.16
2,88.33,178.58
3,58,131.91
4,78.06,126.13
5,65.31,181.05
6,59.26,191.54
7,59.47,154.88
8,65.63,184.12
9,38.64,133.05
10,60.94,275.63
11,51.48,395.25
12,47.12,260.45
13,51.06,417.56
14,41.26,187.83
15,74.23,325.48
16,36.31,370.1
17,72.78,208.29
18,57.98,260.93
19,79.48,190.97
20,77.96,504.41
21,38.27,218.61
22,36.24,242.73
23,54.99,243.88
24,147.25,202.08
25,21.76,110.2
26,43.99,303.17
27,56.2,325.6
28,59.07,70.08
29,59.17,190.15
30,91.93,330.85
31,37.54,146.86
32,67.99,826.75
33,75.23,210.23
34,52.42,424.78
35,32.24,253.21
36,49.29,599.6
37,130.41,614.56
38,55.41,573.19
39,31.08,210.98
40,28.46,372.7
41,58.37,397.25
42,83.82,302.08
43,52.86,301.35
44,42.71,318.86
45,72.4,620.26
46,71.59,314.12
47,37.89,143.96
48,63.22,175.83
49,81.86,736.05
50,74.27,425.6
51,107.09,301.96
52,62.84,183.12
53,58.36,316.8
54,97.84,432.59
55,79.54,155.88
56,47.31,276.17
57,94.48,546.8
58,114.61,900.69
59,137.71,1083.86
60,69.01,221.44
61,64.12,669.03
62,70.69,229.47
63,85.68,244.67
64,98.67,451.88
65,127.89,1023.53
66,106.52,466.47
67,90.11,277.7
68,62.34,321.49
69,95.85,416.85
70,46.57,642.27
71,129.55,195.4
72,44.03,129.77
73,90.33,356.07
74,49.83,214.35
75,44.45,269.71
76,72.92,172.08
77,139.3,225.21
78,87.54,473.02
79,101.8,287.91
80,80.73,264.29
81,85.72,150.86
82,71.63,158.63
83,64.72,175.62
84,60.62,395.57
85,74.62,352.33
86,44.45,134
87,72.87,530.47
88,201.89,326.51
89,93.65,424.1
90,98.89,309.73
91,172.45,505.68
92,53.95,209.47
93,80.7,371.18
94,151.5,187.06
95,98.04,281.46
96,91.81,332.06
97,145.07,308.05
98,116.01,288.3
99,120.16,186.02
100,71.51,370.08
101,117.81,151.82
102,42.77,268.97
103,53.2,409.7
104,96.18,127.03
105,105.76,242.79
106,94.79,179.18
107,116.21,261.99
108,50.02,174.38
109,128.51,283.05
110,98.48,798.28
111,59.34,172.19
112,192.12,233.67
113,194.01,270.47
114,40.03,166.59
115,93.41,336.16
116,102.65,367.41
117,47.11,447.18
118,57.95,340.27
119,136.41,224.88
120,75.51,543.39
121,51.36,334.08
122,47.43,209.47
123,107.87,334.46
124,148.49,482.8
125,121.52,468.62
126,74.79,213.2
127,116.48,435.88
128,66.05,324.91
129,67.05,555.92
130,59.97,301.88
131,58.2,271.05
132,54.92,253.08
133,54.63,162.7
134,113.4,364.85
135,66.1,243.65
136,43.18,248.18
137,51.04,188.56
138,112.13,243.97
139,76.26,357.7
140,42.38,413.27
141,84.68,240.56
142,62.78,183.79
143,53.03,170.79
144,76.43,308
145,60.19,239.11
146,130.85,263.52
147,80.06,270.58
148,69.95,427.36
149,95.23,347.2
150,59.4,312.42
151,76.67,257.93
152,87.36,189.81
153,83.23,196.14
154,121.68,349.63
155,50.96,238.71
156,138.7,453.38
157,71.85,256.35
158,62.44,283.95
159,121.37,366.54
160,135.28,279.45
161,95.97,402.91
162,136.52,353.16
163,77.21,247.83
164,131.69,353.77
165,72.68,247.83
166,118.39,317.89
167,161.6,345.13
168,118.87,850.02
169,89.7,218.88
170,91.84,395.98
171,54.3,214.81
172,132.72,199.97
173,121.02,443.41
174,125.75,279.58
175,87.29,217.55
176,106.38,285.29
177,113.38,306.82
178,143.22,125.46
179,127.77,314.97
180,98.57,265.47
181,114.4,198.22
182,118.49,524.05
183,136.87,414.22
184,99.93,512.45
185,123.8,498.39
186,62.95,354.86
187,148.25,372.5
188,141.02,466.16
189,124.66,1141.76
190,61.15,500.94
191,83.68,487.15
192,68.28,589.24
193,130.75,579.03
194,88.58,1166.08
195,120.79,944.96
196,75.49,438.67
197,106.74,509.21
198,91.16,1239.55
199,121.55,358.78
200,99.28,371.95
201,87.17,978.32
202,152.76,1276.77
203,120.14,500.78
204,161.22,672.21
205,67.85,302.5
206,103.72,658.44
207,203.93,609.08
208,134.54,578.1
209,112.45,402.67
210,126.88,691.49
211,133.96,594.12
212,143.42,516.72
213,172.69,554.45
214,91.59,503.58
215,62.22,351.77
216,92.64,300.52
217,116.42,355.94
218,73.91,213.56
219,90.63,480.3
220,92.17,297.79
221,173.53,387.68
222,124.45,353.73
223,127.44,499.03
224,106.43,631.2
225,107.91,420.14
226,136.55,412.65
227,68.69,169.59
228,55.46,269.34
229,73.84,354.77
230,84.17,351.64
231,148.3,375.06
232,81.4,398.12
233,91.51,244.46
234,117.45,361.55
235,159.23,258.22
236,116.91,654.98
237,156.85,483.99
238,87.78,296.57
239,127.61,329.44
240,107.37,421.69
241,87.78,284.34
242,109.62,293.89
243,104.99,386.52
244,71.14,273.76
245,90.06,581.46
246,135.64,307.27
247,119.15,336.07
248,181.56,406.91
249,104.64,599.81
250,165.48,671.55
251,94.19,488.66
252,109.62,413.15
253,148.65,379
254,94.68,650.65
255,85.78,444.88
256,155.23,597.14
257,70.99,382.95
258,112.64,675.37
259,97.45,364.22
260,89.87,411.24
261,173.66,591.28
262,82.28,266.37
263,73.57,623.38
264,61.4,373.78
265,84.91,275.67
266,123.27,633.53
267,79.9,283.56
268,172.23,416.8
269,85.35,224.79
270,263.74,462.61
271,104.62,369.24
272,98.83,358.8
273,121.53,484.03
274,180.14,323.32
275,175.38,306.74
276,178.22,378.47
277,120.67,345.95
278,117.63,315.63
279,93.74,538.62
280,155.47,495.45
281,167.5,322.11
282,108.47,382.75
283,83.46,330.79
284,73.84,258.29
